t,x
0.0000,0.006948
0.0400,0.042285
0.0800,0.159411
0.1200,0.143339
0.1600,0.292501
0.2000,0.322836
0.2400,0.333115
0.2800,0.381803
0.3200,0.478354
0.3600,0.501872
0.4000,0.549347
0.4400,0.650168
0.4800,0.654205
0.5200,0.689037
0.5600,0.747110
0.6000,0.858333
0.6400,0.823547
0.6800,0.853378
0.7200,0.899796
0.7600,0.957713
0.8000,0.971092
0.8400,0.969591
0.8800,1.004344
0.9200,1.021949
0.9600,1.024933
1.0000,0.980450
1.0400,0.954803
1.0800,0.990031
1.1200,1.014502
1.1600,0.984187
1.2000,0.956250
1.2400,0.899090
1.2800,0.873038
1.3200,0.892545
1.3600,0.797002
1.4000,0.806498
1.4400,0.763492
1.4800,0.741167
1.5200,0.660391
1.5600,0.649768
1.6000,0.629049
1.6400,0.560463
1.6800,0.487878
1.7200,0.404619
1.7600,0.337340
1.8000,0.271185
1.8400,0.220737
1.8800,0.145905
1.9200,0.175108
1.9600,0.023374
2.0000,0.033027
2.0400,-0.064605
2.0800,-0.173575
2.1200,-0.140322
2.1600,-0.198962
2.2000,-0.278062
2.2400,-0.392417
2.2800,-0.376136
2.3200,-0.481621
2.3600,-0.565913
2.4000,-0.582075
2.4400,-0.638796
2.4800,-0.726802
2.5200,-0.689230
2.5600,-0.803640
2.6000,-0.780820
2.6400,-0.836005
2.6800,-0.922514
2.7200,-0.874299
2.7600,-0.880859
2.8000,-0.997531
2.8400,-0.970365
2.8800,-1.031411
2.9200,-0.981238
2.9600,-1.033533
3.0000,-0.951182
3.0400,-0.975407
3.0800,-0.998267
3.1200,-1.002748
3.1600,-0.948672
3.2000,-0.906854
3.2400,-0.936201
3.2800,-0.920862
3.3200,-0.877978
3.3600,-0.885271
3.4000,-0.836216
3.4400,-0.790608
3.4800,-0.777550
3.5200,-0.713570
3.5600,-0.654516
3.6000,-0.629812
3.6400,-0.557759
3.6800,-0.490346
3.7200,-0.398413
3.7600,-0.364247
3.8000,-0.338515
3.8400,-0.256517
3.8800,-0.195163
3.9200,-0.107193
3.9600,-0.048990
4.0000,-0.039805
4.0400,0.070398
4.0800,0.098372
4.1200,0.152365
4.1600,0.284083
4.2000,0.294385
4.2400,0.401357
4.2800,0.402041
4.3200,0.483604
4.3600,0.534265
4.4000,0.623784
4.4400,0.630920
4.4800,0.705828
4.5200,0.715125
4.5600,0.726015
4.6000,0.761197
4.6400,0.798858
4.6800,0.899885
4.7200,0.882650
4.7600,0.963330
4.8000,0.924957
4.8400,1.007888
4.8800,1.029548
4.9200,1.003813
4.9600,0.983283
5.0000,1.049051
5.0400,1.019125
5.0800,1.023523
5.1200,0.999364
5.1600,0.974807
5.2000,0.980012
5.2400,0.945370
5.2800,0.878817
5.3200,0.874035
5.3600,0.891988
5.4000,0.852351
5.4400,0.755445
5.4800,0.778470
5.5200,0.721902
5.5600,0.603756
5.6000,0.625912
5.6400,0.549076
5.6800,0.445043
5.7200,0.439130
5.7600,0.395153
5.8000,0.299458
5.8400,0.248288
5.8800,0.153239
5.9200,0.128006
5.9600,0.055373
6.0000,0.010839
6.0400,-0.107266
6.0800,-0.077893
6.1200,-0.192437
6.1600,-0.273607
6.2000,-0.349258
6.2400,-0.396005
6.2800,-0.389889
6.3200,-0.452830
6.3600,-0.549585
6.4000,-0.602006
6.4400,-0.645495
6.4800,-0.722697
6.5200,-0.737469
6.5600,-0.777938
6.6000,-0.850100
6.6400,-0.865422
6.6800,-0.915472
6.7200,-0.909621
6.7600,-0.902402
6.8000,-0.999557
6.8400,-0.972667
6.8800,-0.966071
6.9200,-0.984052
6.9600,-1.022529
7.0000,-0.980944
7.0400,-1.026918
7.0800,-0.958705
7.1200,-0.978250
7.1600,-0.927325
7.2000,-0.907462
7.2400,-0.898385
7.2800,-0.950553
7.3200,-0.883773
7.3600,-0.883824
7.4000,-0.841447
7.4400,-0.721322
7.4800,-0.768833
7.5200,-0.721504
7.5600,-0.665225
7.6000,-0.540360
7.6400,-0.538153
7.6800,-0.446619
7.7200,-0.437034
7.7600,-0.320478
7.8000,-0.322359
7.8400,-0.221706
7.8800,-0.169932
7.9200,-0.113443
7.9600,-0.030823
8.0000,-0.000325
8.0400,0.081191
8.0800,0.161077
8.1200,0.162392
8.1600,0.205174
8.2000,0.274486
8.2400,0.414328
8.2800,0.427150
8.3200,0.486858
8.3600,0.532001
8.4000,0.620144
8.4400,0.610971
8.4800,0.710408
8.5200,0.745387
8.5600,0.754532
8.6000,0.775524
8.6400,0.822171
8.6800,0.848927
8.7200,0.857375
8.7600,0.943086
8.8000,0.987367
8.8400,0.988903
8.8800,0.951925
8.9200,0.965046
8.9600,0.949867
9.0000,0.980482
9.0400,0.978264
9.0800,0.958452
9.1200,0.945479
9.1600,0.932005
9.2000,0.931749
9.2400,0.954406
9.2800,0.928256
9.3200,0.899297
9.3600,0.802392
9.4000,0.803507
9.4400,0.777975
9.4800,0.735766
9.5200,0.719898
9.5600,0.601225
9.6000,0.616629
9.6400,0.519371
9.6800,0.462977
9.7200,0.426600
9.7600,0.394826
9.8000,0.293285
9.8400,0.280103
9.8800,0.185429
9.9200,0.139106
9.9600,0.079717
10.0000,-0.041953
10.0400,-0.082514
10.0800,-0.117862
10.1200,-0.197952
10.1600,-0.255779
10.2000,-0.280833
10.2400,-0.404155
10.2800,-0.464993
10.3200,-0.450890
10.3600,-0.571708
10.4000,-0.600113
10.4400,-0.639374
10.4800,-0.714719
10.5200,-0.681828
10.5600,-0.755952
10.6000,-0.790924
10.6400,-0.845686
10.6800,-0.830909
10.7200,-0.886583
10.7600,-0.954819
10.8000,-0.963232
10.8400,-0.921276
10.8800,-1.030202
10.9200,-1.015845
10.9600,-0.989864
11.0000,-1.028852
11.0400,-1.025841
11.0800,-1.038920
11.1200,-1.013945
11.1600,-0.927704
11.2000,-0.973398
11.2400,-0.959944
11.2800,-0.923696
11.3200,-0.853699
11.3600,-0.804512
11.4000,-0.836662
11.4400,-0.743858
11.4800,-0.760109
11.5200,-0.696017
11.5600,-0.593194
11.6000,-0.625151
11.6400,-0.555039
11.6800,-0.480027
11.7200,-0.447192
11.7600,-0.328500
11.8000,-0.260167
11.8400,-0.298418
11.8800,-0.219507
11.9200,-0.135062
11.9600,-0.085322
12.0000,-0.047084
12.0400,0.090856
12.0800,0.172609
12.1200,0.212849
12.1600,0.292245
12.2000,0.284521
12.2400,0.395929
12.2800,0.442544
12.3200,0.530658
12.3600,0.493377
12.4000,0.624387
12.4400,0.616044
12.4800,0.635869
12.5200,0.710930
12.5600,0.725080
12.6000,0.782363
12.6400,0.886140
12.6800,0.894519
12.7200,0.909032
12.7600,0.899777
12.8000,0.920756
12.8400,0.930644
12.8800,0.965787
12.9200,0.994584
12.9600,1.010653
13.0000,1.018812
13.0400,1.040265
13.0800,1.010318
13.1200,0.971842
13.1600,1.012747
13.2000,0.965845
13.2400,0.926358
13.2800,0.923976
13.3200,0.908400
13.3600,0.826108
13.4000,0.808070
13.4400,0.743631
13.4800,0.734445
13.5200,0.680568
13.5600,0.653268
13.6000,0.617852
13.6400,0.544285
13.6800,0.449758
13.7200,0.462663
13.7600,0.376455
13.8000,0.308814
13.8400,0.224107
13.8800,0.156060
13.9200,0.154330
13.9600,0.069582
14.0000,-0.026790
14.0400,-0.085670
14.0800,-0.089263
14.1200,-0.148935
14.1600,-0.226642
14.2000,-0.279881
14.2400,-0.402717
14.2800,-0.404381
14.3200,-0.458839
14.3600,-0.554419
14.4000,-0.555426
14.4400,-0.682976
14.4800,-0.690210
14.5200,-0.763142
14.5600,-0.777547
14.6000,-0.805202
14.6400,-0.800739
14.6800,-0.882149
14.7200,-0.949055
14.7600,-0.947815
14.8000,-0.945708
14.8400,-0.982496
14.8800,-1.024947
14.9200,-1.031071
14.9600,-0.965856
15.0000,-0.971425
15.0400,-1.031918
15.0800,-1.030403
15.1200,-1.010202
15.1600,-0.939362
15.2000,-0.980146
15.2400,-0.923118
15.2800,-0.871897
15.3200,-0.866883
15.3600,-0.826154
15.4000,-0.857181
15.4400,-0.767672
15.4800,-0.727215
15.5200,-0.655859
15.5600,-0.619058
15.6000,-0.613300
15.6400,-0.555979
15.6800,-0.464456
15.7200,-0.465518
15.7600,-0.346397
15.8000,-0.352709
15.8400,-0.258903
15.8800,-0.170539
15.9200,-0.100740
15.9600,-0.109215
16.0000,0.044153
16.0400,0.056941
16.0800,0.125193
16.1200,0.191808
16.1600,0.222824
16.2000,0.343349
16.2400,0.376536
16.2800,0.388919
16.3200,0.469172
16.3600,0.499384
16.4000,0.584272
16.4400,0.608553
16.4800,0.722172
16.5200,0.707939
16.5600,0.725589
16.6000,0.770997
16.6400,0.873093
16.6800,0.835928
16.7200,0.889110
16.7600,0.933540
16.8000,0.961158
16.8400,0.971464
16.8800,0.939901
16.9200,0.960822
16.9600,0.948479
17.0000,1.040386
17.0400,0.998918
17.0800,0.952309
17.1200,1.002699
17.1600,1.004056
17.2000,0.998246
17.2400,0.979605
17.2800,0.874541
17.3200,0.881346
17.3600,0.886328
17.4000,0.825412
17.4400,0.817954
17.4800,0.683593
17.5200,0.675325
17.5600,0.672644
17.6000,0.591004
17.6400,0.520545
17.6800,0.497154
17.7200,0.412712
17.7600,0.371874
17.8000,0.314087
17.8400,0.282868
17.8800,0.226790
17.9200,0.083627
17.9600,0.016689
18.0000,-0.047211
18.0400,-0.019592
18.0800,-0.089800
18.1200,-0.191492
18.1600,-0.267538
18.2000,-0.300694
18.2400,-0.366243
18.2800,-0.463138
18.3200,-0.531497
18.3600,-0.571201
18.4000,-0.593543
18.4400,-0.621454
18.4800,-0.653946
18.5200,-0.696632
18.5600,-0.812075
18.6000,-0.807918
18.6400,-0.872423
18.6800,-0.921882
18.7200,-0.925090
18.7600,-0.942687
18.8000,-0.915280
18.8400,-0.962516
18.8800,-0.975158
18.9200,-1.028363
18.9600,-0.988165
19.0000,-1.035736
19.0400,-0.958971
19.0800,-1.002208
19.1200,-0.983204
19.1600,-0.972690
19.2000,-0.904541
19.2400,-0.943657
19.2800,-0.944573
19.3200,-0.884702
19.3600,-0.872270
19.4000,-0.839241
19.4400,-0.733161
19.4800,-0.738231
19.5200,-0.731515
19.5600,-0.668455
19.6000,-0.634389
19.6400,-0.494101
19.6800,-0.485876
19.7200,-0.420030
19.7600,-0.342493
19.8000,-0.281628
19.8400,-0.228918
19.8800,-0.153583
19.9200,-0.111002
19.9600,-0.031918
20.0000,0.034814
20.0400,0.088560
20.0800,0.159408
20.1200,0.217745
20.1600,0.258379
20.2000,0.338495
20.2400,0.409399
20.2800,0.422159
20.3200,0.445799
20.3600,0.497222
20.4000,0.591990
20.4400,0.642801
20.4800,0.668640
20.5200,0.702909
20.5600,0.739674
20.6000,0.814136
20.6400,0.819240
20.6800,0.902429
20.7200,0.860148
20.7600,0.892109
20.8000,0.957292
20.8400,0.939013
20.8800,1.022082
20.9200,0.955036
20.9600,1.024559
21.0000,0.980684
21.0400,0.986363
21.0800,0.973591
21.1200,1.028958
21.1600,0.976550
21.2000,0.928948
21.2400,0.922337
21.2800,0.946950
21.3200,0.884233
21.3600,0.800536
21.4000,0.830204
21.4400,0.748870
21.4800,0.724090
21.5200,0.716756
21.5600,0.637724
21.6000,0.552581
21.6400,0.563414
21.6800,0.433990
21.7200,0.458299
21.7600,0.366242
21.8000,0.345270
21.8400,0.229757
21.8800,0.161626
21.9200,0.089266
21.9600,0.082164
22.0000,0.035024
22.0400,-0.042211
22.0800,-0.131953
22.1200,-0.230073
22.1600,-0.226644
22.2000,-0.353516
22.2400,-0.386445
22.2800,-0.423774
22.3200,-0.521905
22.3600,-0.496733
22.4000,-0.543035
22.4400,-0.628245
22.4800,-0.654129
22.5200,-0.716263
22.5600,-0.811114
22.6000,-0.812131
22.6400,-0.829995
22.6800,-0.829622
22.7200,-0.902959
22.7600,-0.912997
22.8000,-0.924314
22.8400,-0.998005
22.8800,-0.963778
22.9200,-0.954858
22.9600,-1.027933
23.0000,-0.964636
23.0400,-0.982600
