t,x
0,36.595
1,36.587
2,36.585
3,36.589
4,36.587
5,36.588
6,36.583
7,36.593
8,36.601
9,36.593
10,36.593
11,36.596
12,36.595
13,36.596
14,36.602
15,36.596
16,36.591
17,36.586
18,36.584
19,36.592
20,36.602
21,36.607
22,36.608
23,36.612
24,36.612
25,36.610
26,36.617
27,36.626
28,36.619
29,36.618
30,36.623
31,36.632
32,36.628
33,36.633
34,36.629
35,36.638
36,36.629
37,36.635
38,36.639
39,36.639
40,36.643
41,36.642
42,36.641
43,36.638
44,36.642
45,36.646
46,36.643
47,36.651
48,36.657
49,36.654
50,36.650
51,36.657
52,36.649
53,36.654
54,36.658
55,36.668
56,36.663
57,36.665
58,36.656
59,36.663
60,36.666
61,36.665
62,36.669
63,36.677
64,36.677
65,36.679
66,36.679
67,36.676
68,36.683
69,36.680
70,36.676
71,36.669
72,36.675
73,36.667
74,36.663
75,36.658
76,36.650
77,36.644
78,36.649
79,36.643
80,36.646
81,36.651
82,36.641
83,36.643
84,36.651
85,36.645
86,36.653
87,36.651
88,36.653
89,36.657
90,36.659
91,36.650
92,36.642
93,36.643
94,36.637
95,36.634
96,36.627
97,36.632
98,36.625
99,36.618
100,36.622
101,36.619
102,36.626
103,36.633
104,36.624
105,36.625
106,36.630
107,36.622
108,36.614
109,36.621
110,36.630
111,36.637
112,36.628
113,36.622
114,36.630
115,36.638
116,36.629
117,36.626
118,36.627
119,36.633
120,36.629
121,36.622
122,36.631
123,36.641
124,36.632
125,36.625
126,36.622
127,36.620
128,36.618
129,36.628
130,36.625
131,36.635
132,36.635
133,36.626
134,36.621
135,36.622
136,36.614
137,36.618
138,36.608
139,36.606
140,36.599
141,36.598
142,36.601
143,36.598
144,36.595
145,36.598
146,36.595
147,36.593
148,36.602
149,36.605
150,36.598
151,36.607
152,36.600
153,36.594
154,36.587
155,36.587
156,36.581
157,36.579
158,36.583
159,36.587
160,36.589
161,36.588
162,36.585
163,36.585
164,36.578
165,36.579
166,36.587
167,36.596
168,36.593
169,36.602
170,36.612
171,36.614
172,36.610
173,36.606
174,36.609
175,36.605
176,36.613
177,36.618
178,36.613
179,36.608
180,36.599
181,36.605
182,36.609
183,36.616
184,36.624
185,36.617
186,36.624
187,36.626
188,36.630
189,36.632
190,36.631
191,36.637
192,36.641
193,36.649
194,36.646
195,36.638
196,36.642
197,36.639
198,36.635
199,36.634
200,36.641
201,36.633
202,36.624
203,36.620
204,36.621
205,36.621
206,36.630
207,36.638
208,36.631
209,36.627
210,36.626
211,36.631
212,36.626
213,36.629
214,36.631
215,36.625
216,36.629
217,36.625
218,36.633
219,36.639
220,36.643
221,36.649
222,36.650
223,36.648
224,36.640
225,36.647
226,36.646
227,36.644
228,36.637
229,36.634
230,36.625
231,36.625
232,36.631
233,36.626
234,36.630
235,36.620
236,36.626
237,36.631
238,36.626
239,36.633
240,36.626
241,36.618
242,36.625
243,36.630
244,36.628
245,36.622
246,36.616
247,36.621
248,36.622
249,36.626
250,36.616
251,36.621
252,36.620
253,36.611
254,36.608
255,36.611
256,36.612
257,36.612
258,36.621
259,36.630
260,36.624
261,36.622
262,36.626
263,36.632
264,36.636
265,36.639
266,36.638
267,36.641
268,36.648
269,36.644
270,36.638
271,36.639
272,36.636
273,36.631
274,36.639
275,36.637
276,36.644
277,36.638
278,36.638
279,36.641
280,36.640
281,36.646
282,36.651
283,36.645
284,36.650
285,36.649
286,36.653
287,36.646
288,36.639
289,36.645
290,36.637
291,36.645
292,36.642
293,36.635
294,36.635
295,36.643
296,36.641
297,36.647
298,36.656
299,36.661
300,36.657
301,36.650
302,36.641
303,36.649
304,36.649
305,36.656
306,36.649
307,36.642
308,36.650
309,36.658
310,36.656
311,36.666
312,36.665
313,36.673
314,36.664
315,36.663
316,36.666
317,36.659
318,36.654
319,36.662
320,36.663
321,36.673
322,36.683
323,36.682
324,36.690
325,36.693
326,36.696
327,36.698
328,36.690
329,36.682
330,36.679
331,36.688
332,36.698
333,36.706
334,36.716
335,36.714
336,36.713
337,36.714
338,36.713
339,36.721
340,36.723
341,36.724
342,36.727
343,36.724
344,36.717
345,36.716
346,36.717
347,36.708
348,36.707
349,36.701
350,36.707
351,36.698
352,36.707
353,36.716
354,36.723
355,36.715
356,36.718
357,36.727
358,36.719
359,36.719
360,36.709
361,36.714
362,36.710
363,36.707
364,36.717
365,36.717
366,36.714
367,36.708
368,36.710
369,36.711
370,36.720
371,36.720
372,36.724
373,36.730
374,36.723
375,36.726
376,36.721
377,36.727
378,36.718
379,36.726
380,36.732
381,36.725
382,36.726
383,36.736
384,36.735
385,36.734
386,36.740
387,36.750
388,36.751
389,36.753
390,36.745
391,36.746
392,36.751
393,36.746
394,36.741
395,36.733
396,36.730
397,36.739
398,36.729
399,36.722
400,36.729
401,36.730
402,36.735
403,36.740
404,36.730
405,36.727
406,36.729
407,36.730
408,36.722
409,36.716
410,36.713
411,36.722
412,36.714
413,36.706
414,36.705
415,36.714
416,36.706
417,36.713
418,36.706
419,36.711
420,36.710
421,36.703
422,36.695
423,36.694
424,36.687
425,36.679
426,36.680
427,36.689
428,36.691
429,36.686
430,36.690
431,36.697
432,36.691
433,36.693
434,36.701
435,36.699
436,36.695
437,36.696
438,36.694
439,36.694
440,36.690
441,36.687
442,36.683
443,36.690
444,36.690
445,36.693
446,36.685
447,36.678
448,36.673
449,36.681
450,36.689
451,36.694
452,36.693
453,36.696
454,36.693
455,36.701
456,36.697
457,36.702
458,36.706
459,36.701
460,36.698
461,36.699
462,36.708
463,36.715
464,36.706
465,36.706
466,36.709
467,36.703
468,36.703
469,36.707
470,36.701
471,36.691
472,36.687
473,36.696
474,36.696
475,36.696
476,36.702
477,36.706
478,36.701
479,36.693
480,36.700
481,36.697
482,36.701
483,36.705
484,36.707
485,36.700
486,36.703
487,36.708
488,36.706
489,36.702
490,36.705
491,36.707
492,36.712
493,36.711
494,36.713
